ID_TRC,PROPRIETAIRE_REF,CODE_ARR,FORME,RUELLE_ID,DATE_AMENAGEMENT,DATE_BONIFICATION,CIRCULATION,TYPE_AMENAGEMENT,TYPE_RECOUVREMENT,SUPERFICIE_RUELLE_M2,SUPERFICIE_VERDISSEMENT_M2,NUMERO_DE_RESOLUTION,DATE_MAJ
406978,"Sud-Ouest","SO","A","SO-A-1002009",2018-07-01,2022-09-01,"Fermée","Plates-bandes et mobilier","Mixte",232.577,"71",,2019-11-14
406581,"Sud-Ouest","SO","I","SO-I-1002003",2015-07-01,2017-07-01,"Ouverte","Plates-bandes et mobilier","Mixte",252.979,,,2019-11-04
405524,"Villeray - St-Michel - Parc-Extension","VSMPE","A","VSMPE-A-1200014",,,"Ouverte",,"Asphalté ou bétonnée",436.365,,,2019-10-24
406031,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000113",2019-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1335.245,,,2019-12-02
406032,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000112",2018-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1349.589,,,2019-11-29
403626,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000014",2011-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",90.852,,,2019-11-29
403627,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000088",2016-07-01,,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",91.161,,,2019-11-27
403628,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000045",2013-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",91.351,,,2019-12-02
403632,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000059",2014-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",91.761,,,2019-11-26
406513,"Sud-Ouest","SO","A","SO-A-1004003",2015-07-01,2019-10-01,"Partiellement fermée","Plates-bandes et mobilier","Mixte",209.347,"104",,2019-11-04
